Site Name,Site,HR_age,Compost,Crops,Cover_Crop,Fallow,Soil_Type,Treatment,Location,Upper_Depth,Lower_Depth,Length,soil,sand,silt,clay,silt_clay,BD,pH,per_N,per_C,N_Mg_ha,C_Mg_ha,CN_ratio,log_N,log_C,profileC,POXc,EOC,EON,MBC,MBN,MB_CN_ratio,glucam,glucos,cell, GWC,Infiltration_Dry,Infiltration_Wet,SH_15,SSH_30,Macroagg,Microagg,Total_Agg
Butler C,18,15,0,wheat,0,0,3,H,1,0,10,10,Capay,14.5,38.5,50,88.5,1.457198192,6.13,0.169137675,1.92768866,2.464671143,28.0902443,11.39715714,0.39175898,1.448555516,186.1472084,755.11,19.8,7.1,126.4345953,23.08603133,5.47667087,0.3157435,2.15155677,1.444389826,0.141255605,6.29,23.36,80,120,54.4,19,73.4
Butler C,18,15,0,wheat,0,0,3,H,2,0,10,10,Capay,7.5,42.5,50,92.5,1.457198192,6.04,0.169158494,1.890776308,2.464974513,27.55235817,11.17754282,0.391812433,1.440158776,186.5680219,565.11,14.6,10.8,148.7408972,32.80666376,4.533862336,0.391279518,1.621108457,0.29228084,0.174100719,3.01,5.56,35,75,48.5,0.7,49.2
Butler C,18,15,0,wheat,0,0,3,H,3,0,10,10,Capay,10,40,50,90,1.457198192,6.12,0.151831636,1.353142725,2.21248786,19.71797132,8.912126335,0.344880896,1.294862231,147.6279188,565.11,31.7,8.1,111.887224,19.59876972,5.70889018,0.418729825,1.082820779,0.253878772,0.121883657,8.95,11.27,50,80,57.4,18.7,76.1
Butler C,18,15,0,wheat,0,4.5,3,R,1,0,10,10,Capay,10,38.75,51.25,90,1.326879782,6.12,0.095161984,0.891217341,1.262685127,11.82538271,9.365266499,0.101295065,1.072815205,133.6283475,326.25,35.9,42.6,77.22442018,9.642703313,8.008586148,0.336526075,1.286799232,0.119940767,0.094133697,6.16,11.25,15,85,38.8,33.3,72.1
Butler C,18,15,0,wheat,0,4.5,3,R,2,0,10,10,Capay,12.5,35,52.5,87.5,1.326879782,6.21,0.083455294,0.951633689,1.107351421,12.62703502,11.4029158,0.044285467,1.101301385,121.6328579,657.39,30.2,6.0,56.08162455,14.14808664,3.96390169,0.200083513,0.635878786,0.116096837,0.079734219,5.92,6.67,0,120,42.6,33.2,75.8
Butler C,18,15,0,wheat,0,4.5,3,R,3,0,10,10,Capay,10,46.25,43.75,90,1.326879782,6.15,0.079731009,0.93352817,1.05793464,12.38679655,11.70847052,0.024458837,1.092959004,123.7549996,190.53,18.7,6.5,34.41757058,12.64645617,2.721518987,0.116675545,0.708344827,0.070201867,0.094212651,9.94,18.49,15,100,29.1,41.9,71
HRF-Co,19,25,0,poppies,0,0,4,H,1,0,10,10,Corning,39.25,39.75,21,60.75,1.18021362,5.59,0.29061888,3.337749344,3.429923605,39.39257236,11.48497077,0.535284447,1.595414342,127.4486432,705.31,33.1,98.0,146.5941744,93.62411874,1.56577361,0.41995642,2.505923489,0.232890692,0.202662722,10.85,11.59,25,95,31.2,24.7,55.9
HRF-Co,19,25,0,poppies,0,0,4,H,2,0,10,10,Corning,39.25,39.75,21,60.75,1.18021362,5.37,0.14271349,1.807849998,1.684324041,21.33649191,12.66768828,0.226425648,1.329123015,69.72665826,515.23,32.4,105.1,166.8654974,148.0240838,1.127286136,0.468824258,3.159522898,0.425514858,0.083932854,49.51,107.68,40,100,40.6,21.9,62.5
HRF-Co,19,25,0,poppies,0,0,4,H,3,0,10,10,Corning,38,41,21,62,1.18021362,5.64,0.292576309,3.603631612,3.453025445,42.5305511,12.31689479,0.538199779,1.62870101,109.6033637,636.41,39.7,25.6,129.3175,21.61425,5.982974195,0.613161169,1.83483263,0.289639557,0.130434783,36.06,134.75,50,85,38.7,20.5,59.2
HRF-Co,19,25,0,poppies,0,3,4,R,1,0,10,10,Corning,41.5,33.75,24.75,58.5,1.466277807,5.33,0.056129843,0.538398207,0.823019428,7.894413421,9.592013446,-0.084589913,0.897319866,33.23789257,386.93,22.5,17.8,45.92015267,8.957506361,5.126443769,0.124099722,0.450195232,0.066829199,0.081775701,43.19,580.36,85,150,34.6,23.8,58.4
HRF-Co,19,25,0,poppies,0,3,4,R,2,0,10,10,Corning,40.5,36.25,23.25,59.5,1.466277807,5.04,0.073832966,0.730167343,1.082596389,10.7062817,9.889448926,0.034466574,1.029638666,41.34075701,405.94,53.6,16.5,23.49738903,4.528198433,5.189125296,0.141407349,0.447119876,0.087121948,0.065853659,64.71,714.51,100,160,27.3,23.3,50.6
